Suburb,Year,Dog_breed,Total_dogs
aberfoyle park,2016,Afghan Hound,3
aberfoyle park,2016,Airedale Terrier X,1
aberfoyle park,2016,Akita,2
aberfoyle park,2016,Akita X,3
aberfoyle park,2016,Alaskan Malamute,9
aberfoyle park,2016,Alaskan Malamute X,3
aberfoyle park,2016,American Staffordshire Terrier,20
aberfoyle park,2016,American Staffordshire Terrier X,10
aberfoyle park,2016,Australian Cattle Dog,26
aberfoyle park,2016,Australian Cattle Dog X,23
aberfoyle park,2016,Australian Kelpie,24
aberfoyle park,2016,Australian Kelpie X,68
aberfoyle park,2016,Australian Shepherd,8
aberfoyle park,2016,Australian Shepherd X,1
aberfoyle park,2016,Australian Silky Terrier,8
aberfoyle park,2016,Australian Silky Terrier X,6
aberfoyle park,2016,Australian Terrier,2
aberfoyle park,2016,Australian Terrier X,2
aberfoyle park,2016,Basenji X,2
aberfoyle park,2016,Bassett Hound,1
aberfoyle park,2016,Beagle,40
aberfoyle park,2016,Beagle X,12
aberfoyle park,2016,Belgian Shepherd,1
aberfoyle park,2016,Belgian Shepherd X,1
aberfoyle park,2016,Bernese Mountain Dog X,1
aberfoyle park,2016,Bichon Frise,5
aberfoyle park,2016,Bichon Frise X,5
aberfoyle park,2016,Border Collie,76
aberfoyle park,2016,Border Collie X,34
aberfoyle park,2016,Border Terrier X,1
aberfoyle park,2016,Boston Terrier,3
aberfoyle park,2016,Boxer,16
aberfoyle park,2016,Boxer X,3
aberfoyle park,2016,Briard,1
aberfoyle park,2016,British Bulldog,2
aberfoyle park,2016,British Bulldog X,1
aberfoyle park,2016,British Bulldog X (listed as American Bull Dog),4
aberfoyle park,2016,British Bulldog X (listed as Aussie Bulldog),1
aberfoyle park,2016,Brittany,1
aberfoyle park,2016,Bull Terrier,4
aberfoyle park,2016,Bull Terrier (listed as English Bull Terrier),1
aberfoyle park,2016,Bull Terrier X,7
aberfoyle park,2016,Bullmastiff,1
aberfoyle park,2016,Bullmastiff X,5
aberfoyle park,2016,Cairn Terrier,1
aberfoyle park,2016,Cairn Terrier X,2
aberfoyle park,2016,Cavalier King Charles Spaniel,46
aberfoyle park,2016,Cavalier King Charles Spaniel X,26
aberfoyle park,2016,Cavoodle (Cavalier X Poodle,11
aberfoyle park,2016,Chihuahua,18
aberfoyle park,2016,Chihuahua X,23
aberfoyle park,2016,Chinese Crested Dog,1
aberfoyle park,2016,Chow Chow,1
aberfoyle park,2016,Chow Chow X,1
aberfoyle park,2016,Clumber Spaniel,1
aberfoyle park,2016,Cocker Spaniel,45
aberfoyle park,2016,Cocker Spaniel (American),1
aberfoyle park,2016,Cocker Spaniel X,6
aberfoyle park,2016,Collie (Rough),2
aberfoyle park,2016,Collie (Rough) X,5
aberfoyle park,2016,Corgi X(see either Welsh Cardigan/ Welsh Pembroke),2
aberfoyle park,2016,Curly Coated Retriever,1
aberfoyle park,2016,Dachshund,8
aberfoyle park,2016,Dachshund (Miniature),3
aberfoyle park,2016,Dachshund X,3
aberfoyle park,2016,Dalmatian,8
aberfoyle park,2016,Deerhound,1
aberfoyle park,2016,Deerhound X,2
aberfoyle park,2016,Dobermann,11
aberfoyle park,2016,Dogue De Bordeaux,3
aberfoyle park,2016,Dogue De Bordeaux X,2
aberfoyle park,2016,English Setter,1
aberfoyle park,2016,English Springer Spaniel,8
aberfoyle park,2016,English Springer Spaniel X,1
aberfoyle park,2016,Fox Terrier,12
aberfoyle park,2016,Fox Terrier (Smooth),10
aberfoyle park,2016,Fox Terrier (Smooth) X,13
aberfoyle park,2016,Fox Terrier (Wire),1
aberfoyle park,2016,Fox Terrier X,2
aberfoyle park,2016,French Bull Dog,3
aberfoyle park,2016,French Bull Dog X,1
aberfoyle park,2016,German Shepherd Dog,46
aberfoyle park,2016,German Shepherd Dog X,21
aberfoyle park,2016,German Shorthaired Pointer,10
aberfoyle park,2016,Golden Retriever,41
aberfoyle park,2016,Golden Retriever X,10
aberfoyle park,2016,Gordon Setter,2
aberfoyle park,2016,Great Dane,2
aberfoyle park,2016,Great Dane X,1
aberfoyle park,2016,Greyhound,9
aberfoyle park,2016,Greyhound X (listed as Lurcher),1
aberfoyle park,2016,Griffin Bruxellois,2
aberfoyle park,2016,Griffin Bruxellois X,1
aberfoyle park,2016,Groodle (Golden Retriever X Poodle),8
aberfoyle park,2016,Havanese,2
aberfoyle park,2016,Hungarian Vizsla,4
aberfoyle park,2016,Irish Setter,1
aberfoyle park,2016,Irish Wolfhound,1
aberfoyle park,2016,Irish Wolfhound X,2
aberfoyle park,2016,Italian Greyhound,1
aberfoyle park,2016,Jack Russell Terrier,47
aberfoyle park,2016,Jack Russell TerrierX,46
aberfoyle park,2016,Japanese Spitz,5
aberfoyle park,2016,Keeshond,1
aberfoyle park,2016,King Charles Spaniel,1
aberfoyle park,2016,King Charles Spaniel X,2
aberfoyle park,2016,Labrador Retriever,103
aberfoyle park,2016,Labrador Retriever X,52
aberfoyle park,2016,Labrador Retriever X (listed as Labradoodle),14
aberfoyle park,2016,Lagotto Romagnolo,1
aberfoyle park,2016,Leonberger,1
aberfoyle park,2016,Lhasa Apso,4
aberfoyle park,2016,Lhasa Apso X,4
aberfoyle park,2016,Maltalier (Maltese x Cavalier),5
aberfoyle park,2016,Maltese,20
aberfoyle park,2016,Maltese X,232
aberfoyle park,2016,Maltese X Poodle,5
aberfoyle park,2016,Maremma Sheep Dog,2
aberfoyle park,2016,Mastiff,2
aberfoyle park,2016,Mastiff X,12
aberfoyle park,2016,Miniature Pinscher,1
aberfoyle park,2016,Miniature Schnauzer,19
aberfoyle park,2016,Mixed,23
aberfoyle park,2016,Neopolitan Mastiff X,1
aberfoyle park,2016,Newfoundland,1
aberfoyle park,2016,Nova Scotia Duck Tolling Retriever,1
aberfoyle park,2016,Papillon,6
aberfoyle park,2016,Papillon X,3
aberfoyle park,2016,Pekingese,1
aberfoyle park,2016,Pekingese X,1
aberfoyle park,2016,Pointer,1
aberfoyle park,2016,Pomeranian,13
aberfoyle park,2016,Pomeranian X,19
aberfoyle park,2016,Poodle (Miniature),7
aberfoyle park,2016,Poodle (Miniature) X,1
aberfoyle park,2016,Poodle (Standard),4
aberfoyle park,2016,Poodle (Standard) X,32
aberfoyle park,2016,Poodle (Toy),9
aberfoyle park,2016,Poodle (Toy) X,4
aberfoyle park,2016,Portuguese Water Dog,1
aberfoyle park,2016,Pug,23
aberfoyle park,2016,Pug X,27
aberfoyle park,2016,Retriever,3
aberfoyle park,2016,Retriever X,1
aberfoyle park,2016,Rhodesian Ridgeback,7
aberfoyle park,2016,Rhodesian Ridgeback X,7
aberfoyle park,2016,Rottweiler,19
aberfoyle park,2016,Rottweiler X,6
aberfoyle park,2016,Saluki X,1
aberfoyle park,2016,Samoyed,3
aberfoyle park,2016,Schipperke,1
aberfoyle park,2016,Schnauzer,11
aberfoyle park,2016,Schnauzer X,10
aberfoyle park,2016,Schnauzer X Poodle (listed as Schnoodle),5
aberfoyle park,2016,Scottish Terrier,1
aberfoyle park,2016,Shar Pei,3
aberfoyle park,2016,Shar Pei X,6
aberfoyle park,2016,Shetland Sheep Dog,13
aberfoyle park,2016,Shih Tzu,9
aberfoyle park,2016,Shih Tzu X,20
aberfoyle park,2016,Siberian Husky,11
aberfoyle park,2016,Siberian Husky X,5
aberfoyle park,2016,Spaniel X,3
aberfoyle park,2016,Spoodle (Spaniel X Poodle),19
aberfoyle park,2016,Staffordshire Bull Terrier,74
aberfoyle park,2016,Staffordshire Bull Terrier X,77
aberfoyle park,2016,Swedish Vallhund,2
aberfoyle park,2016,Tenterfield Terrier,24
aberfoyle park,2016,Tenterfield Terrier X,4
aberfoyle park,2016,Terrier,5
aberfoyle park,2016,Terrier X,10
aberfoyle park,2016,Tibetan Spaniel,2
aberfoyle park,2016,Tibetan Spaniel X,2
aberfoyle park,2016,Unknown,5
aberfoyle park,2016,Weimaraner,2
aberfoyle park,2016,Welsh Corgi (Cardigan) X,1
aberfoyle park,2016,Welsh Corgi (Pembroke),1
aberfoyle park,2016,West Highland White Terrier,18
aberfoyle park,2016,West Highland White Terrier X,8
aberfoyle park,2016,Whippet,6
aberfoyle park,2016,Whippet X,1
aberfoyle park,2016,White Swiss Shepherd Dog,1
aberfoyle park,2016,Yorkshire Terrier,6
adelaide,2015,AUSTRALIAN CATTLE DOG,6
adelaide,2015,AUSTRALIAN KELPIE,3
adelaide,2015,AUSTRALIAN KELPIE CROSS,6
adelaide,2015,AUSTRALIAN SHEPHERD,1
adelaide,2015,AUSTRALIAN SILKY TERRIER,4
adelaide,2015,AUSTRALIAN SILKY TERRIER CROSS,1
adelaide,2015,AUSTRALIAN TERRIER CROSS,1
adelaide,2015,BASSET HOUND,1
adelaide,2015,BEAGLE,4
adelaide,2015,BEAGLE CROSS,2
adelaide,2015,BICHON FRISE,4
adelaide,2015,BICHON FRISE CROSS,1
adelaide,2015,BORDER COLLIE,3
adelaide,2015,BORDER TERRIER,3
adelaide,2015,BORDER TERRIER CROSS,1
adelaide,2015,BOSTON TERRIER,6
adelaide,2015,BOUVIER DE FLANDERS,1
adelaide,2015,BOXER,3
adelaide,2015,BOXER CROSS,1
adelaide,2015,BREED UNKNOWN,5
adelaide,2015,BRITISH BULLDOG,1
adelaide,2015,BULLDOG,1
adelaide,2015,CAIRN TERRIER,1
adelaide,2015,CANADIAN  ESKIMO DOG,1
adelaide,2015,CAVALIER KING CHARLES SPANIEL,8
adelaide,2015,CAVALIER KING CHARLES SPANIEL CROSS,6
adelaide,2015,CHIHUAHUA,8
adelaide,2015,CHIHUAHUA CROSS,3
adelaide,2015,COCKER SPANIEL,4
adelaide,2015,COCKER SPANIEL CROSS,6
adelaide,2015,CROSS BREED UNKNOWN,2
adelaide,2015,DACHSHUND,2
adelaide,2015,DACHSHUND (MINITURE),1
adelaide,2015,DACHSHUND CROSS,1
adelaide,2015,ENGLISH TOY TERRIER,1
adelaide,2015,FOX TERRIER (SMOOTH),4
adelaide,2015,FOX TERRIER CROSS,4
adelaide,2015,FOX TERRIER WIRE,1
adelaide,2015,GERMAN PINSCHER,1
adelaide,2015,GERMAN SHEPHERD DOG,6
adelaide,2015,GERMAN SHEPHERD DOG CROSS,1
adelaide,2015,GOLDEN RETRIEVER,8
adelaide,2015,GREAT DANE,1
adelaide,2015,GREYHOUND,6
adelaide,2015,HAVANESE,1
adelaide,2015,HUNGARIAN VIZSLA,2
adelaide,2015,ITALIAN GREYHOUND,2
adelaide,2015,JACK RUSSELL TERRIER,15
adelaide,2015,JACK RUSSELL TERRIER CROSS,3
adelaide,2015,KING CHARLES SPANIEL,3
adelaide,2015,LABRADOR CROSS,5
adelaide,2015,LABRADOR RETRIEVER,10
adelaide,2015,LABRADOR RETRIEVER CROSS,3
adelaide,2015,LAGOTTO ROMAGNOLO,1
adelaide,2015,LHASA APSO,1
adelaide,2015,LHASA APSO CROSS,3
adelaide,2015,MALTESE,3
adelaide,2015,MALTESE CROSS,49
adelaide,2015,MASTIFF,1
adelaide,2015,PAPILLON,1
adelaide,2015,PAPILLON  CROSS,2
adelaide,2015,PEKINGESE,2
adelaide,2015,POMERANIAN,4
adelaide,2015,POMERANIAN CROSS,5
adelaide,2015,POODLE MINATURE CROSS,8
adelaide,2015,POODLE MINIATURE,7
adelaide,2015,POODLE STANDARD CROSS,5
adelaide,2015,POODLE TOY,4
adelaide,2015,POODLE TOY CROSS,3
adelaide,2015,PUG,7
adelaide,2015,PUG CROSS,3
adelaide,2015,RHODESIAN RIDGEBACK,1
adelaide,2015,RHODESIAN RIDGEBACK CROSS,2
adelaide,2015,ROTTWEILER,1
adelaide,2015,ROTTWEILER CROSS,1
adelaide,2015,SAMOYED,1
adelaide,2015,SAMOYED CROSS,1
adelaide,2015,SCHIPPERKE,1
adelaide,2015,SCHNAUZER,2
adelaide,2015,SCHNAUZER CROSS,1
adelaide,2015,SCHNAUZER MINIATURE,11
adelaide,2015,SCOTTISH TERRIER,3
adelaide,2015,SHAR PEI,3
adelaide,2015,SHETLAND SHEEP DOG,3
adelaide,2015,SHIH TZU,3
adelaide,2015,SHIH TZU CROSS,4
adelaide,2015,SOFT COATED WHEATON TERRIER,2
adelaide,2015,STAFFORDSHIRE BULL TERRIER,4
adelaide,2015,STAFFORDSHIRE BULL TERRIER CROSS,6
adelaide,2015,TENTERFIELD TERRIER,4
adelaide,2015,TERRIER - UNKNOWN,6
adelaide,2015,TIBETAN SPANIEL,2
adelaide,2015,WELSH CORGI,1
adelaide,2015,WELSH CORGIE PEMBROKE,2
adelaide,2015,WEST HIGHLAND WHITE TERRIER,8
adelaide,2015,WEST HIGHLAND WHITE TERRIER CROSS,1
adelaide,2015,YORKSHIRE TERRIER,1
alberton,2016,Airedale Terrier,1
alberton,2016,Akita X,1
alberton,2016,American Bulldog X,1
alberton,2016,American Staffordshire Bull Terrier,5
alberton,2016,American Staffordshire Bull Terrier X,1
alberton,2016,Australian Shepherd,1
alberton,2016,Australian Terrier,1
alberton,2016,Beagle,5
alberton,2016,Beagle X,3
alberton,2016,Belgian Sheepdog,1
alberton,2016,Belgian Shepherd,1
alberton,2016,Bichon Frise X,1
alberton,2016,Blue Heeler,1
alberton,2016,Blue Heeler X,3
alberton,2016,Border Collie,4
alberton,2016,Border Collie X,5
alberton,2016,Boxer,1
