Suburb,Year,Dog_breed,Average_friendliness_of_breed,Total_dogs
belair,2015,affenpinscher,4,1
hawthorn,2015,affenpinscher,4,1
sellicks beach,2016,affenpinscher,4,4
elizabeth downs,2015,affenpinscher,4,1
morphett vale,2016,afghan hound,3.5,4
coromandel valley,2015,afghan hound,3.5,1
aberfoyle park,2016,afghan hound,3.5,3
upper sturt,2015,afghan hound,3.5,11
queenstown,2016,afghan hound,3.5,2
old reynella,2016,afghan hound,3.5,3
semaphore,2016,afghan hound,3.5,1
clearview,2016,airedale terrier,4,1
broadview,2016,airedale terrier,4,1
leabrook,2015,airedale terrier,4,2
christies beach,2016,airedale terrier,4,1
hillbank,2015,airedale terrier,4,3
willunga south,2016,airedale terrier,4,1
woodcroft,2016,airedale terrier,4,3
craigburn farm,2015,airedale terrier,4,2
clarendon,2016,airedale terrier,4,1
birkenhead,2016,airedale terrier,4,3
coromandel valley,2015,airedale terrier,4,2
belair,2015,airedale terrier,4,8
stonyfell,2015,airedale terrier,4,1
cumberland park,2015,airedale terrier,4,2
port noarlunga south,2016,airedale terrier,4,2
magill,2015,airedale terrier,4,1
blair athol,2016,airedale terrier,4,2
beulah park,2015,airedale terrier,4,2
woodville gardens,2016,airedale terrier,4,1
aldinga beach,2016,airedale terrier,4,2
pasadena,2015,airedale terrier,4,2
port noarlunga,2016,airedale terrier,4,3
oakden,2016,airedale terrier,4,1
bellevue heights,2015,airedale terrier,4,1
beaumont,2015,airedale terrier,4,1
hazelwood park,2015,airedale terrier,4,1
craigmore,2015,airedale terrier,4,1
northfield,2016,airedale terrier,4,1
tatachilla,2016,airedale terrier,4,1
kensington park,2015,airedale terrier,4,1
happy valley,2016,airedale terrier,4,1
morphett vale,2016,airedale terrier,4,4
colonel light gardens,2015,airedale terrier,4,2
north adelaide,2015,airedale terrier,4,4
north haven,2016,airedale terrier,4,3
torrens park,2015,airedale terrier,4,4
sellicks beach,2016,airedale terrier,4,1
hawthorn,2015,airedale terrier,4,2
glenunga,2015,airedale terrier,4,1
melrose park,2015,airedale terrier,4,1
elizabeth downs,2015,airedale terrier,4,1
lower mitcham,2015,airedale terrier,4,2
frewville,2015,airedale terrier,4,1
glenalta,2015,airedale terrier,4,2
mclaren vale,2016,airedale terrier,4,1
glenside,2015,airedale terrier,4,1
kensington gardens,2015,airedale terrier,4,2
eden hills,2015,airedale terrier,4,1
flagstaff hill,2016,airedale terrier,4,1
devon park,2016,airedale terrier,4,1
alberton,2016,airedale terrier,4,1
daw park,2015,airedale terrier,4,1
glanville,2016,airedale terrier,4,2
yattalunga,2015,akita,2.75,1
aberfoyle park,2016,akita,2.75,2
christie downs,2016,akita,2.75,1
christies beach,2016,akita,2.75,1
magill,2015,akita,2.75,1
glenside,2015,akita,2.75,1
windsor gardens,2016,akita,2.75,1
andrews farm,2015,akita,2.75,5
moana,2016,akita,2.75,2
mclaren flat,2016,akita,2.75,1
elizabeth north,2015,akita,2.75,1
elizabeth,2015,akita,2.75,1
ethelton,2016,akita,2.75,1
elizabeth downs,2015,akita,2.75,3
melrose park,2015,akita,2.75,3
woodcroft,2016,akita,2.75,5
smithfield plains,2015,akita,2.75,1
aldinga beach,2016,akita,2.75,2
lonsdale,2016,akita,2.75,1
largs bay,2016,akita,2.75,2
rosewater,2016,akita,2.75,2
kilburn,2016,akita,2.75,3
kensington park,2015,akita,2.75,1
hawthorn,2015,akita,2.75,1
klemzig,2016,akita,2.75,3
huntfield heights,2016,akita,2.75,3
pasadena,2015,akita,2.75,1
port noarlunga,2016,akita,2.75,1
elizabeth east,2015,akita,2.75,1
elizabeth grove,2015,akita,2.75,1
reynella,2016,akita,2.75,2
greenacres,2016,akita,2.75,1
auldana,2015,akita,2.75,1
belair,2015,akita,2.75,1
semaphore south,2016,akita,2.75,1
exeter,2016,akita,2.75,1
hillcrest,2016,akita,2.75,1
frewville,2015,akita,2.75,1
dulwich,2015,akita,2.75,1
oakden,2016,akita,2.75,1
woodville gardens,2016,akita,2.75,1
panorama,2015,akita,2.75,2
port willunga,2016,akita,2.75,4
morphett vale,2016,akita,2.75,8
seaford rise,2016,akita,2.75,3
angle vale,2015,akita,2.75,1
bedford park,2015,akita,2.75,1
happy valley,2016,akita,2.75,5
enfield,2016,akita,2.75,1
davoren park,2015,akita,2.75,5
hillbank,2015,akita,2.75,1
o'sullivan beach,2016,akita,2.75,2
flagstaff hill,2016,akita,2.75,2
onkaparinga hills,2016,akita,2.75,2
virginia,2015,akita,2.75,2
hackham,2016,akita,2.75,2
prospect,2016,akita,2.75,1
glenunga,2015,akita,2.75,1
elizabeth vale,2015,akita,2.75,2
seaford,2016,akita,2.75,1
hackham west,2016,akita,2.75,1
noarlunga downs,2016,akita,2.75,2
munno para west,2015,akita,2.75,1
north haven,2016,akita,2.75,1
cumberland park,2015,akita,2.75,1
daw park,2015,akita,2.75,1
taperoo,2016,akita,2.75,1
craigmore,2015,akita,2.75,2
clarence gardens,2015,akita,2.75,1
osborne,2016,akita,2.75,1
sellicks beach,2016,akita,2.75,1
croydon park,2016,akita,2.75,1
seaford meadows,2016,akita,2.75,1
clapham,2015,akita,2.75,1
northgate,2016,akita,2.75,1
elizabeth park,2015,akita,2.75,1
semaphore,2016,akita,2.75,3
mount osmond,2015,akita,2.75,1
angle vale,2015,alaskan malamute,3.5,3
andrews farm,2015,alaskan malamute,3.5,7
macdonald park,2015,alaskan malamute,3.5,1
port willunga,2016,alaskan malamute,3.5,1
oakden,2016,alaskan malamute,3.5,1
aldinga,2016,alaskan malamute,3.5,1
frewville,2015,alaskan malamute,3.5,1
aldinga beach,2016,alaskan malamute,3.5,9
old reynella,2016,alaskan malamute,3.5,1
happy valley,2016,alaskan malamute,3.5,9
greenacres,2016,alaskan malamute,3.5,1
mansfield park,2016,alaskan malamute,3.5,1
magill,2015,alaskan malamute,3.5,2
prospect,2016,alaskan malamute,3.5,3
klemzig,2016,alaskan malamute,3.5,3
beaumont,2015,alaskan malamute,3.5,1
port noarlunga south,2016,alaskan malamute,3.5,2
aberfoyle park,2016,alaskan malamute,3.5,9
lonsdale,2016,alaskan malamute,3.5,1
smithfield,2015,alaskan malamute,3.5,1
huntfield heights,2016,alaskan malamute,3.5,9
holden hill,2016,alaskan malamute,3.5,1
hackham,2016,alaskan malamute,3.5,1
kensington gardens,2015,alaskan malamute,3.5,1
exeter,2016,alaskan malamute,3.5,3
semaphore,2016,alaskan malamute,3.5,1
elizabeth grove,2015,alaskan malamute,3.5,1
flagstaff hill,2016,alaskan malamute,3.5,3
croydon park,2016,alaskan malamute,3.5,1
eden hills,2015,alaskan malamute,3.5,1
hackham west,2016,alaskan malamute,3.5,6
seaford rise,2016,alaskan malamute,3.5,5
north haven,2016,alaskan malamute,3.5,7
elizabeth north,2015,alaskan malamute,3.5,3
smithfield plains,2015,alaskan malamute,3.5,2
o'halloran hill,2016,alaskan malamute,3.5,2
enfield,2016,alaskan malamute,3.5,4
christies beach,2016,alaskan malamute,3.5,8
elizabeth vale,2015,alaskan malamute,3.5,3
seaford meadows,2016,alaskan malamute,3.5,9
davoren park,2015,alaskan malamute,3.5,4
peterhead,2016,alaskan malamute,3.5,3
glen osmond,2015,alaskan malamute,3.5,2
morphett vale,2016,alaskan malamute,3.5,20
northfield,2016,alaskan malamute,3.5,1
o'sullivan beach,2016,alaskan malamute,3.5,1
elizabeth east,2015,alaskan malamute,3.5,3
largs bay,2016,alaskan malamute,3.5,3
rosewater,2016,alaskan malamute,3.5,1
auldana,2015,alaskan malamute,3.5,1
onkaparinga hills,2016,alaskan malamute,3.5,4
rosslyn park,2015,alaskan malamute,3.5,1
sellicks beach,2016,alaskan malamute,3.5,3
glanville,2016,alaskan malamute,3.5,1
seaford,2016,alaskan malamute,3.5,6
craigmore,2015,alaskan malamute,3.5,6
panorama,2015,alaskan malamute,3.5,3
coromandel valley,2016,alaskan malamute,3.5,2
elizabeth downs,2015,alaskan malamute,3.5,3
munno para west,2015,alaskan malamute,3.5,1
queenstown,2016,alaskan malamute,3.5,1
largs north,2016,alaskan malamute,3.5,2
moana,2016,alaskan malamute,3.5,4
reynella east,2016,alaskan malamute,3.5,1
ethelton,2016,alaskan malamute,3.5,2
lower mitcham,2015,alaskan malamute,3.5,1
